,Unnamed: 0,title,港股,国内财经,基金,美股,期货,生活,外汇,证券,classify,检验
83,83,"邦达亚洲:强劲数据升温加息预期 美指接近1个月高位
",1,3,3,3,2,0,5,2,外汇,外汇
84,84,"特朗普修完美墨边境墙 加州草莓就得烂地里没人管
",0,0,0,3,0,0,1,0,美股,美股
85,85,"闪崩股宜宾纸业再次跌停
",1,0,0,0,1,0,0,2,证券,证券
86,86,"快讯：方大炭素跳水跌停
",2,0,0,0,1,0,0,1,证券,证券
87,87,"耀才证券植耀辉:美股22000点续争持港股静候腾讯业绩
",6,0,1,2,0,1,0,5,港股,港股
88,88,"特朗普批群辞的CEO""哗众取宠""：想当顾问的人多的…
",0,0,1,2,1,0,1,0,美股,美股
89,89,"乐视网新局面 CEO梁军1天内任命11位高管
",0,2,1,1,1,0,0,1,证券,证券
90,90,"快讯：租售同权概念股强势拉升 市北高新涨逾7%
",6,2,0,1,1,0,0,6,证券,证券
91,91,"环保风暴或成常态 关注四方面投资机会
",0,1,0,1,3,0,0,0,证券,证券
92,92,"阿里巴巴将在日本推出手机支付服务
",1,2,0,8,1,1,1,3,美股,美股
93,93,"川普每天发6条推文 推特的股价为何依然跌跌不休？
",2,1,0,1,1,1,0,3,证券,证券
94,94,"窝轮观点：平安逆市收涨 留意平安购29062
",3,0,0,1,0,2,0,1,港股,港股
95,95,"两市低开沪指跌0.1% 创业板跌0.08%
",2,1,2,1,2,0,0,3,证券,证券
96,96,"易信金融:零售数据强劲 美元指数刷新反弹新高
",1,2,0,5,2,1,6,2,外汇,外汇
97,97,"快讯：北京汽车预计净利润同比下降60% 股价下跌超6%
",4,2,0,0,2,0,0,5,港股,港股
98,98,"投资者赖国昌违规炒作方大炭素 个股今日低开跌近2%
",2,2,0,1,1,1,1,4,证券,证券
99,99,"强势震荡机会多多 仍可适量加仓
",0,1,0,0,1,0,0,0,证券,证券
100,100,"博友早评 ：冲击上周高点再拉升高抛
",1,0,0,1,0,1,0,0,证券,证券
101,101,"早评：派发和收集筹码同时进行
",0,0,0,0,0,1,1,0,证券,证券
102,102,"高精度北斗定位应用迎突破 推首款手机芯片
",0,0,0,0,0,1,0,0,证券,证券
103,103,"曲美家居：募投项目将新增4亿产能
",1,2,1,5,3,1,0,5,证券,证券
104,104,"中央环保督察进行时 中金:相关污染行业或被倒逼转型
",0,1,0,0,2,1,0,0,证券,证券
105,105,"创业板上扬马蹄疾 三点隐忧需关注
",1,0,0,2,0,1,0,0,证券,证券
106,106,"Facebook成全球最受喜爱品牌 中国仅HTC联想入…
",2,2,0,4,1,0,1,0,美股,美股
107,107,"沪指收阳重上30日线 涨价资源股王者归来
",5,0,1,1,0,2,1,5,证券,证券
108,108,"任泽平：7月企业贷款和债券融资加速 验证新周期
",2,6,2,2,4,0,2,4,证券,证券
109,109,"产能过剩20% 煤电机组面临关停、缓建
",0,0,0,0,1,1,0,1,期货,期货
110,110,"快讯：鄂尔多斯高开高走 大涨近5%
",4,0,0,0,0,1,0,1,证券,证券
111,111,"总体向上未遭到破坏 不宜追涨强周期板块
",2,1,0,1,2,3,0,2,证券,证券
112,112,"传新一代Apple Watch将于九月与iPhone …
",1,4,1,6,3,2,1,3,美股,美股
113,113,"一区间将现争夺 可操作性明显增强
",0,1,0,3,1,1,0,1,证券,美股
114,114,"富国银行迎来首位女董事长 曾任美联储理事
",0,0,0,2,0,0,0,0,美股,美股
115,115,"时富证券：港股今日高开 26884点为关键
",7,0,1,3,1,1,1,6,港股,港股
116,116,"港股ADR走势个別 电讯股ADR低收
",3,1,1,0,0,1,0,3,港股,港股
117,117,"交易所出手:投资者赖国昌炒作方大炭素 手法是这样的
",0,1,0,0,0,0,0,0,证券,国内财经
118,118,"李克强谈去产能：确保多余人员转岗不下岗转业不失业
",0,3,0,2,1,1,0,0,国内财经,国内财经
119,119,"港股沽空统计|2017年8月16日
",7,3,3,3,2,1,2,8,港股,港股
120,120,"1~7月有股票私募实现100%收益 冠亚军是位前记者
",3,3,3,1,1,1,1,4,证券,证券
121,121,"无锡物价局回应“多收市民十亿水资源费”：未重复收
",1,0,1,0,0,2,0,2,国内财经,国内财经
122,122,"人大副校长：新周期没有开启 需要迈过“三个坎”
",0,2,0,2,3,0,0,2,证券,证券
123,123,"发改委：国企改革进展与预期有差距 下半年集中发力
",0,2,0,1,1,1,0,0,国内财经,国内财经
124,124,"ADR统计|8月16日
",3,2,2,3,2,0,2,3,港股,港股
125,125,"宫颈癌疫苗可网上预约 GSK:不怕默沙东四价疫苗竞争
",0,1,0,1,0,2,0,0,美股,美股
126,126,"美国二季度家庭负债12.84万亿美元创新高
",3,3,2,8,3,3,2,6,美股,美股
127,127,"要降准还是继续MLF？ 学界争议降准预期
",0,0,0,0,1,0,0,0,国内财经,国内财经
128,128,"破发危机隐现:每8只A股就有1只次新股 4股逼近发行价
",2,2,2,2,2,0,0,5,证券,证券
129,129,"次新股迎变局 部分机构已不允许将其调进股票池
",1,3,0,5,2,1,0,5,证券,证券
130,130,"90天花317亿 中国买家扎堆伦敦买房
",4,4,2,2,1,2,1,4,美股,美股
131,131,"任性停牌仍待规范 监管闹钟此起彼伏叫醒装睡的公司
",0,1,0,0,0,1,0,2,证券,证券
132,132,"特朗普授权审查中国贸易行为 信号意义大于制裁意义
",2,2,0,3,1,0,2,0,国内财经,国内财经
133,133,"开盘：沪指小幅调整低开跌0.10% 煤炭板块崛起
",1,1,2,0,1,0,0,3,证券,证券
134,134,"M2增速连跌7个月再创新低 社会融资规模却连续井喷
",2,5,2,2,4,1,1,4,证券,国内财经
135,135,"IMF：近期中国经济继续巩固 是加快推进必要改革时机
",2,4,0,3,2,0,1,0,国内财经,国内财经
136,136,"中国连续5个月增持美债 超过日本再成美第一大债权国
",5,5,1,6,2,2,3,2,国内财经,国内财经
137,137,"安联埃里安：特朗普重点未谈基建 错失推进改革良机
",1,0,0,2,0,0,1,0,美股,美股
138,138,"证监会连发三文总结股市：机构称体现对市场表现满意
",1,2,1,2,3,1,0,6,证券,证券
139,139,"今日大盘提示和热点前瞻（附股）
",3,0,0,2,0,0,2,3,证券,证券
140,140,"连续利空爆发 黑色系连续四日大跌 你敢入扬抄底吗？
",1,0,0,1,4,1,1,1,期货,期货
141,141,"中国连续五个月增持美债 重新成美国最大债权国
",3,6,1,7,3,0,2,2,国内财经,国内财经
142,142,"新周期的虚与实：是可笑提法还是难得投资机遇期？
",0,3,0,2,3,1,0,2,证券,证券
143,143,"今年IPO申请被否企业达46家 商业贿赂问题再次被问及
",0,3,1,0,1,2,0,1,证券,证券
144,144,"日媒：中国人对牛肉需求增加 日本人比较郁闷
",3,2,0,6,2,0,2,1,美股,美股
145,145,"德国第二大航空公司申请破产保护
",0,0,0,0,0,1,0,2,美股,美股
146,146,"新股提示：川恒股份今日申购
",2,1,1,2,1,0,1,5,证券,证券
147,147,"改革主题有望重新成为下半年A股的风口
",1,1,0,1,1,0,0,4,证券,证券
148,148,"乐视网高管换血：从融创请风控救兵 业务新格局初显
",0,1,0,1,1,0,0,1,证券,证券
149,149,"银行股脉冲式上演逆袭行情 工商银行股价创下9年新高
",2,1,0,1,2,1,0,4,证券,证券
150,150,"乐视系七年融资超700亿还是不够花原因在这里(图)
",2,3,1,3,1,2,0,4,证券,证券
151,151,"中小创冷暖谁先知 四信号揭开潜伏者神秘面纱
",0,0,0,0,0,0,0,0,证券,证券
152,152,"A股焦点或从业绩转向核心竞争力
",2,0,0,1,1,0,0,4,证券,证券
153,153,"燃料油期货控风险：零成交的燃料油手续费上调100倍
",1,1,1,0,3,1,1,0,期货,期货
154,154,"投行人士:并购重组审核明显加快 证监会支持力度加大
",0,0,0,1,1,0,0,2,证券,证券
155,155,"股市复苏迹象已出现 多家公司质押平仓风险暂消
",1,0,0,0,0,2,1,5,证券,证券
156,156,"IMF亚太部助理主任：中国经济转型进展令人瞩目
",2,4,0,4,1,0,1,0,国内财经,国内财经
157,157,"鹏欣资源19亿买金矿已停产7年 复产还有26亿资金缺口
",2,2,2,0,0,2,0,5,证券,证券
158,158,"荣盛发展负债1465亿屯地:现金流7年为负 负债率达8…
",3,3,3,1,1,1,0,4,证券,证券
159,159,"人大财经委辜胜阻：部分省市债务率超过或逼近警戒线
",0,1,0,1,1,0,0,0,国内财经,国内财经
160,160,"赤峰黄金披露中期高送转预案 遭上交所问询
",1,0,0,0,1,2,2,0,证券,证券
161,161,"人民日报专访上海市长：走好超大城市创新转型之路
",2,2,0,3,1,2,1,2,国内财经,国内财经
162,162,"林鑫：IPO和退市两制度关系多大
",0,0,0,0,1,1,1,0,证券,证券
163,163,"美最大工会组织退出特朗普制造业委员会
",0,0,0,2,1,0,1,0,美股,美股
164,164,"股海导航 8月16日沪深股市公告提示
",5,2,4,3,2,0,2,6,证券,证券
165,165,"8月16日07点交易员正关注要闻
",5,3,2,7,2,0,2,4,美股,美股
166,166,"*ST钒钛上半年扭亏为盈 正谋恢复上市
",1,0,0,1,1,1,0,1,证券,证券
167,167,"8月16日四大证券报头版头条内容精华摘要
",4,2,2,3,2,0,2,3,证券,证券
168,168,"马光远：你们都在说新周期 我听到的仍然是一首老歌
",0,3,0,3,3,1,0,3,证券,证券
169,169,"上海市委书记韩正党报撰文：努力当好排头兵先行者
",1,0,0,1,0,2,0,0,国内财经,国内财经
170,170,"*ST宝实刚预告扭亏 马上计划3.3亿收购军工资产
",1,0,2,0,0,2,0,2,证券,证券
171,171,"广州万隆：两市昨日资金小幅流入
",1,0,0,1,0,0,1,2,证券,证券
172,172,"证监会：并购重组已成支持实体经济重要方式
",0,2,0,1,1,0,0,2,证券,证券
173,173,"证监会：并购重组成资本市场支持实体经济重要方式
",0,3,1,2,2,0,0,4,证券,证券
174,174,"美媒：中国将启动世界最大碳交易市场
",2,4,1,7,4,0,1,3,美股,美股
175,175,"沪深两市走势震荡 分化格局延续
",1,0,2,0,1,0,0,1,证券,证券
176,176,"今年前7月新三板融资逾751亿 证监会肯定新三板成绩
",3,4,3,2,3,1,1,6,证券,证券
177,177,"证监会：股市出现四大积极变化
",1,0,0,0,1,0,0,3,证券,证券
178,178,"API原油库存再传捷报 多头逆袭油价触底反弹
",0,0,0,1,4,0,1,0,期货,期货
179,179,"280家公司中报业绩变脸 上交所发文提醒投资者
",1,1,0,1,1,4,0,6,证券,证券
180,180,"央行主管媒体：防风险需要高度重视公司治理
",0,2,0,0,0,1,1,2,国内财经,国内财经
181,181,"央行削峰填谷超量续作MLF 或用TLF应对超储率下行
",0,2,0,1,2,0,0,0,国内财经,国内财经
182,182,"银行股业绩触底反弹AH溢价10% 半年报披露季资金抢筹
",1,1,1,0,0,0,1,4,证券,证券
183,183,"智飞生物上半年净利增13倍 疫苗板块明显复苏
",1,2,1,0,0,1,0,3,证券,证券
184,184,"乐视网新团队上线:梁军连发六任命函 长期停牌惹争议
",0,1,0,1,2,1,0,1,证券,证券
185,185,"300亿市值缩水颓势待挽 暴风集团自救为“子”引战投
",1,0,1,0,0,0,1,2,证券,证券
186,186,"次新股变局:两天破板现身 欧派家居等百元股跌落神坛
",2,1,0,1,2,3,0,4,证券,证券
187,187,"温氏股份迎“弱周期”大考 中报净利降超七成
",1,1,0,0,2,0,0,5,证券,证券
188,188,"农发种业并购屡次踩雷 1.2亿业绩补偿款追讨上公堂
",1,1,2,0,0,2,0,4,证券,证券
189,189,"“国家队”布局抱团重仓21只股 偏爱白马不怵ST
",1,2,2,1,0,3,0,4,证券,证券
190,190,"新三板做市商遭遇增量危机 私募机构做市试点暂停
",1,1,0,2,1,1,0,2,证券,证券
191,191,"7月流动性缓和 连平：全面降准既没必要也不可能
",2,3,1,2,1,1,2,2,国内财经,国内财经
192,192,"涨幅缩小撞上市场大跌 多只次新股破发风险大增
",3,2,2,2,4,1,1,5,证券,证券
193,193,"财科院降成本调研：企业每百元营收降成本近1毛
",1,3,1,0,0,2,0,0,国内财经,国内财经
194,194,"隔夜国际市场要闻必读(8月16日)
",4,3,3,5,4,0,3,5,美股,美股
195,195,"安徽农业服务股份副总二进宫 落马贪官怎成国企高管
",1,1,0,0,0,0,0,3,国内财经,国内财经
196,196,"特朗普执意展开对华贸易调查隐藏两大诉求
",0,0,0,3,1,0,1,0,国内财经,国内财经
197,197,"房地产业产生强烈危机感：多项指标大幅下滑
",0,0,0,0,0,0,0,1,国内财经,证券
198,198,"四次全市场演练完成 原油期货面世只差“临门一脚”
",0,1,2,1,5,1,0,2,期货,期货
199,199,"受美元复苏打压 金价创五周最大跌幅
",1,0,0,3,2,1,3,0,美股,美股
200,200,"反超日本 中国重新成为全球最大的美国国债持有国
",3,4,0,10,2,0,2,2,美股,美股
201,201,"需求面疲软因素再度浮现 油价周二小幅收跌
",0,0,0,2,2,1,0,0,美股,美股
202,202,"市场对政治局势缓和反应清淡 美股近乎收平
",1,1,1,3,2,1,1,4,美股,美股
203,203,"“现货升水”或昙花一现 产量高企依然困扰油价回升
",0,0,0,1,3,1,0,0,期货,期货
204,204,"业绩变脸遭严查逾百家公司“入围” 业内:存套利空间
",0,0,0,0,0,3,0,4,证券,证券
205,205,"黑牛食品150亿元定增顺利过会 助力AMOLED产业发…
",2,1,2,0,1,2,0,2,证券,证券
206,206,"下半年资本举牌11家上市公司 思源电气山东金泰在列
",0,2,1,2,1,3,0,4,证券,证券
207,207,"南宁百货澄清举牌方无关前海人寿 关联方:经验不足
",0,1,1,2,0,1,0,0,证券,证券
208,208,"控股股东股权被冻近5月方公告 S*ST前锋股改或受影响
",2,2,1,1,2,2,1,5,证券,证券
209,209,"诉讼、董事失联、董事人选疑议 神开股份乱局升级
",1,0,0,1,0,0,0,3,证券,证券
210,210,"广东明珠关联交易频繁发生 背后涉嫌隐瞒亲属关系
",0,0,0,0,1,1,0,0,证券,证券
211,211,"去年上市公司并购重组交易额2万亿 年均增长率41.14…
",1,3,2,0,1,3,0,6,证券,证券
212,212,"国家队持175个股浮盈逾50亿 新增持46家27家为中…
",3,4,2,1,1,3,0,8,证券,证券
213,213,"证券日报头版：房地产投资增速回落不会影响GDP
",2,3,0,2,1,1,1,2,国内财经,国内财经
214,214,"三市共振 “黑色系”期现货及股市联动效应明显
",1,0,0,0,6,1,0,2,期货,期货
215,215,"证监会：再融资审核重点关注七大问题
",1,0,0,2,1,0,0,1,证券,证券
216,216,"黑色系期现货及股市联动明显 三市共振提振市场信心
",1,1,1,1,7,1,0,4,证券,证券
217,217,"7月份M2同比增9.2%再创新低 央行强调不必过度关注
",2,6,1,4,2,2,1,4,国内财经,国内财经
218,218,"比特币市值直逼知名美股 后市或还有60%上涨空间！
",4,0,0,3,1,1,0,2,美股,美股
219,219,"Uber投资人：卡兰尼克阻碍了公司物色新CEO
",0,2,0,2,1,1,0,3,美股,美股
220,220,"Air Berlin申请破产保护刺激航空股攀升 欧股小…
",1,0,0,0,0,0,0,2,美股,证券
221,221,"四川某高校推暑期共享宿舍 入住者可使用食堂图书馆
",0,0,0,0,1,0,0,0,国内财经,国内财经
222,222,"专家：中国经济存大量隐形GDP 增速被低估可能性高
",2,7,0,3,1,2,1,1,国内财经,国内财经
223,223,"爱尔眼科回应投资者质疑：高管减持为参与合伙人计划
",0,2,0,2,0,2,0,0,证券,证券
224,224,"券商资管首发货币ETF 规模达152亿位居第四
",1,1,7,1,0,2,0,3,基金,基金
225,225,"高价鸡蛋将成年内新常态 业内预计期货8月底见顶
",2,3,2,6,7,0,1,4,期货,期货
226,226,"多家ST公司携利好复牌股价仍走弱
",2,1,0,0,0,2,0,6,证券,证券
227,227,"11只货基规模不足1亿 方正富邦货基成立半年多清盘
",1,2,6,2,0,1,0,2,基金,基金
228,228,"九泰锐兴成今年第五只募集失败公募基金
",0,0,5,1,1,0,0,0,基金,基金
229,229,"贵州茅台向上吉比特向下 曾经比肩如今遥相望
",0,0,0,1,0,1,0,0,证券,证券
230,230,"5G盛宴即将“开席” 这些A股公司将抢占先机
",1,1,0,3,1,2,0,6,证券,证券
231,231,"专家：中美贸易摩擦或将增多 叠加行业受影响较大
",0,2,0,4,2,1,0,3,国内财经,国内财经
232,232,"乐视网人事格局初定:一天四道任命 刘淑青成""大管家\…
",0,0,1,1,1,2,0,1,证券,证券
233,233,"万和电气副董事长：谈判八年终牵手 联姻博世再出发
",0,0,0,0,0,0,1,0,证券,证券
234,234,"四大产品“胜利会师” 王亚伟加码买入华锦股份
",2,0,0,0,1,1,0,3,证券,证券
235,235,"证监会：今年以来股市总体运行平稳
",1,0,0,0,1,0,0,3,证券,证券
236,236,"黑色系大幅回调 市场激辩“新周期”
",0,2,1,2,7,1,0,4,期货,期货
237,237,"证监会：并购重组成资本市场支持实体经济发展方式
",0,3,1,2,2,0,0,4,证券,证券
238,238,"亚马逊计划发行160亿美元债券
",2,2,3,4,1,1,2,2,美股,美股
239,239,"创业板指基收益规模双升 关注创业板绩优股
",1,0,2,1,0,1,0,3,证券,证券
240,240,"杉杉股份拟建负极一体化基地 总投资达38.06亿元
",4,1,2,1,1,2,0,6,证券,证券
241,241,"两公司被上交所监管关注 新华医疗收到监管函
",0,2,0,2,1,4,0,3,证券,证券
242,242,"机构“花式”研究兴盛 轻择时重选股
",1,0,0,0,0,0,0,3,证券,证券
243,243,"周期性行业中期业绩表现良好 过百家净利增幅超倍
",1,1,0,0,2,1,0,4,证券,证券
244,244,"利空利好同场PK 重组事项终止致士兰微复牌涨停
",2,0,1,0,0,0,0,2,证券,证券
245,245,"富煌钢构近期牛气冲天 四天三涨停
",2,0,1,0,1,0,0,1,证券,证券
246,246,"ICO打造平行资本天地获捧 区块链热度叠加
",0,0,0,0,0,0,0,1,证券,证券
247,247,"热点逐步切换 “中小创”获尾盘资金回流
",1,0,0,1,0,0,0,2,证券,美股
248,248,"谨防农产品天气市“变脸”
",0,0,0,0,0,0,0,0,期货,证券
249,249,"证监会：并购重组大力支持实体经济发展
",0,2,0,1,1,0,0,2,证券,证券
250,250,"央行研究局徐忠：同业存单新规对银行业影响有限
",0,3,1,2,2,0,0,2,国内财经,国内财经
251,251,"永安行17日在上交所上市 上市数量2400万股
",3,3,1,3,1,2,1,6,证券,证券
252,252,"今年以来新三板公司股票发行融资逾750亿元
",4,2,1,1,1,3,0,8,证券,证券
253,253,"空头翻多 债市走出期市“阴霾”
",0,1,0,0,1,0,0,0,期货,证券
254,254,"证监会：今年股市总体运行平稳 市场稳态进一步巩固
",1,1,1,1,2,1,0,5,证券,证券
255,255,"并购重组大力支持实体发展 交易金额年均增逾40%
",0,0,0,0,0,0,0,1,国内财经,证券
256,256,"桂满陇餐厅食具惊现活蛆 员工称操作符合规范
",0,1,0,0,0,1,0,0,生活,国内财经
257,257,"7月平均日最高气温创56年纪录 助推用电量大增9.9%
",3,2,1,2,1,1,2,3,国内财经,国内财经
258,258,"发改委：防范企业债券违约风险 力挺雄安等项目建设
",0,3,1,0,0,1,1,0,国内财经,国内财经
